awayscore,away,homescore,date,home,div,tourney
0,Shotgun (9),0,6/4/2016,Surfside  (7),Men,Space City Classic 2016 (Cancelled)
0,Papa Bear (6),0,6/4/2016,SCU Y (4),Men,Space City Classic 2016 (Cancelled)
0,Papa Bear (6),0,6/4/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Surfside  (7),0,6/4/2016,SCU Y (4),Men,Space City Classic 2016 (Cancelled)
0,Shotgun (9),0,6/4/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Surfside  (7),0,6/4/2016,Papa Bear (6),Men,Space City Classic 2016 (Cancelled)
0,Surfside  (7),0,6/4/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Shotgun (9),0,6/4/2016,SCU Y (4),Men,Space City Classic 2016 (Cancelled)
0,SCU Y (4),0,6/5/2016,Riverside Ultimate (1),Men,Space City Classic 2016 (Cancelled)
0,Shotgun (9),0,6/5/2016,Papa Bear (6),Men,Space City Classic 2016 (Cancelled)
0,Goon Squad (5),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,AndyGator (8),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,Goon Squad (5),Men,Space City Classic 2016 (Cancelled)
0,AndyGator (8),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,AndyGator (8),Men,Space City Classic 2016 (Cancelled)
0,Goon Squad (5),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,AndyGator (8),0,6/4/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/4/2016,SCU X (3),Men,Space City Classic 2016 (Cancelled)
0,Deaf Fruit  (10),0,6/4/2016,Goon Squad (5),Men,Space City Classic 2016 (Cancelled)
0,SCU X (3),0,6/5/2016,Premium (2),Men,Space City Classic 2016 (Cancelled)
0,AndyGator (8),0,6/5/2016,Goon Squad (5),Men,Space City Classic 2016 (Cancelled)
0,Riverside Messengers (11),0,6/5/2016,Deaf Fruit  (10),Men,Space City Classic 2016 (Cancelled)
14,Phoenix Uprising (3),11,7/16/2016,Venom (1),Women,Ski Town Classic 2016
5,Name in the Wind (4),15,7/16/2016,Elevate (2),Women,Ski Town Classic 2016
7,Name in the Wind (4),14,7/16/2016,Venom (1),Women,Ski Town Classic 2016
11,Phoenix Uprising (3),12,7/16/2016,Elevate (2),Women,Ski Town Classic 2016
11,Elevate (2),10,7/16/2016,Venom (1),Women,Ski Town Classic 2016
6,Name in the Wind (4),14,7/16/2016,Phoenix Uprising (3),Women,Ski Town Classic 2016
9,Venom (1),12,7/17/2016,Elevate (2),Women,Ski Town Classic 2016
2,Name in the Wind (4),11,7/17/2016,Elevate (2),Women,Ski Town Classic 2016
3,Phoenix Uprising (3),9,7/17/2016,Elevate (2),Women,Ski Town Classic 2016
5,Name in the Wind (4),15,7/17/2016,Phoenix Uprising (3),Women,Ski Town Classic 2016
5,Venom (1),11,7/17/2016,Phoenix Uprising (3),Women,Ski Town Classic 2016
8,Venom (1),4,7/17/2016,Name in the Wind (4),Women,Ski Town Classic 2016
13,Syndicate (13),9,7/16/2016,Madd Dogg (12),Men,Ski Town Classic 2016
13,Killjoys (7),9,7/16/2016,Choice City Hops (6),Men,Ski Town Classic 2016
13,Killjoys (7),9,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
10,Madd Dogg (12),13,7/16/2016,Choice City Hops (6),Men,Ski Town Classic 2016
4,Syndicate (13),13,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
5,Madd Dogg (12),13,7/16/2016,Killjoys (7),Men,Ski Town Classic 2016
7,Madd Dogg (12),13,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
13,Syndicate (13),12,7/16/2016,Choice City Hops (6),Men,Ski Town Classic 2016
9,Choice City Hops (6),13,7/16/2016,Voodoo (1),Men,Ski Town Classic 2016
2,Syndicate (13),13,7/16/2016,Killjoys (7),Men,Ski Town Classic 2016
4,Serengeti (14),13,7/16/2016,Phalanx (11),Men,Ski Town Classic 2016
13,Whiskeyjacks (8),12,7/16/2016,Ghost Train (5),Men,Ski Town Classic 2016
8,Whiskeyjacks (8),13,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
4,Phalanx (11),13,7/16/2016,Ghost Train (5),Men,Ski Town Classic 2016
1,Serengeti (14),13,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
5,Phalanx (11),13,7/16/2016,Whiskeyjacks (8),Men,Ski Town Classic 2016
2,Phalanx (11),13,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
7,Serengeti (14),13,7/16/2016,Ghost Train (5),Men,Ski Town Classic 2016
11,Ghost Train (5),12,7/16/2016,PowderHogs (2),Men,Ski Town Classic 2016
5,Serengeti (14),13,7/16/2016,Whiskeyjacks (8),Men,Ski Town Classic 2016
6,Big Rock (9),15,7/16/2016,ISO Atmo (4),Men,Ski Town Classic 2016
7,Brawl (10),15,7/16/2016,Warchild (3),Men,Ski Town Classic 2016
4,Brawl (10),15,7/16/2016,ISO Atmo (4),Men,Ski Town Classic 2016
4,Big Rock (9),15,7/16/2016,Warchild (3),Men,Ski Town Classic 2016
12,Brawl (10),14,7/16/2016,Big Rock (9),Men,Ski Town Classic 2016
12,ISO Atmo (4),13,7/16/2016,Warchild (3),Men,Ski Town Classic 2016
14,PowderHogs (2),15,7/17/2016,Whiskeyjacks (8),Men,Ski Town Classic 2016
6,Ghost Train (5),15,7/17/2016,Whiskeyjacks (8),Men,Ski Town Classic 2016
6,Voodoo (1),12,7/17/2016,PowderHogs (2),Men,Ski Town Classic 2016
13,Whiskeyjacks (8),8,7/17/2016,Killjoys (7),Men,Ski Town Classic 2016
13,Ghost Train (5),12,7/17/2016,ISO Atmo (4),Men,Ski Town Classic 2016
4,Syndicate (13),13,7/17/2016,PowderHogs (2),Men,Ski Town Classic 2016
13,Voodoo (1),4,7/17/2016,Warchild (3),Men,Ski Town Classic 2016
9,Choice City Hops (6),12,7/17/2016,Phalanx (11),Men,Ski Town Classic 2016
7,Brawl (10),13,7/17/2016,Phalanx (11),Men,Ski Town Classic 2016
13,Choice City Hops (6),8,7/17/2016,Big Rock (9),Men,Ski Town Classic 2016
W,Phalanx (11),F,7/17/2016,Madd Dogg (12),Men,Ski Town Classic 2016
13,Choice City Hops (6),6,7/17/2016,Serengeti (14),Men,Ski Town Classic 2016
5,Syndicate (13),11,7/17/2016,Warchild (3),Men,Ski Town Classic 2016
10,Killjoys (7),12,7/17/2016,Warchild (3),Men,Ski Town Classic 2016
10,ISO Atmo (4),12,7/17/2016,Syndicate (13),Men,Ski Town Classic 2016
6,ISO Atmo (4),11,7/17/2016,Killjoys (7),Men,Ski Town Classic 2016
10,Big Rock (9),9,7/17/2016,Brawl (10),Men,Ski Town Classic 2016
W,Serengeti (14),F,7/17/2016,Madd Dogg (12),Men,Ski Town Classic 2016
2,Fifth Element (6),11,7/16/2016,Prion (1),Mixed,Bourbon Bash 2016
11,Free Ride (10),10,7/16/2016,Hairy Otter (3),Mixed,Bourbon Bash 2016
11,North Coast (12),1,7/16/2016,I-79 (7),Mixed,Bourbon Bash 2016
2,North Coast (12),11,7/16/2016,Prion (1),Mixed,Bourbon Bash 2016
5,Fifth Element (6),10,7/16/2016,Hairy Otter (3),Mixed,Bourbon Bash 2016
11,Free Ride (10),7,7/16/2016,I-79 (7),Mixed,Bourbon Bash 2016
2,I-79 (7),11,7/16/2016,Prion (1),Mixed,Bourbon Bash 2016
9,North Coast (12),10,7/16/2016,Hairy Otter (3),Mixed,Bourbon Bash 2016
11,Free Ride (10),3,7/16/2016,Fifth Element (6),Mixed,Bourbon Bash 2016
5,Free Ride (10),11,7/16/2016,Prion (1),Mixed,Bourbon Bash 2016
7,North Coast (12),8,7/16/2016,Fifth Element (6),Mixed,Bourbon Bash 2016
5,I-79 (7),11,7/16/2016,Hairy Otter (3),Mixed,Bourbon Bash 2016
5,Hairy Otter (3),11,7/16/2016,Prion (1),Mixed,Bourbon Bash 2016
11,I-79 (7),8,7/16/2016,Fifth Element (6),Mixed,Bourbon Bash 2016
4,North Coast (12),11,7/16/2016,Free Ride (10),Mixed,Bourbon Bash 2016
5,Moonshine (5),11,7/16/2016,Columbus Cocktails (2),Mixed,Bourbon Bash 2016
10,Goosebumps and Hucks (9),12,7/16/2016,Thunderpants the Magic Dragon (4),Mixed,Bourbon Bash 2016
11,Los  Heros (11),4,7/16/2016,Mixed Pi (8),Mixed,Bourbon Bash 2016
7,Los  Heros (11),11,7/16/2016,Columbus Cocktails (2),Mixed,Bourbon Bash 2016
11,Moonshine (5),6,7/16/2016,Thunderpants the Magic Dragon (4),Mixed,Bourbon Bash 2016
7,Goosebumps and Hucks (9),8,7/16/2016,Mixed Pi (8),Mixed,Bourbon Bash 2016
2,Mixed Pi (8),11,7/16/2016,Columbus Cocktails (2),Mixed,Bourbon Bash 2016
8,Los  Heros (11),9,7/16/2016,Thunderpants the Magic Dragon (4),Mixed,Bourbon Bash 2016
4,Goosebumps and Hucks (9),11,7/16/2016,Moonshine (5),Mixed,Bourbon Bash 2016
10,Los  Heros (11),5,7/16/2016,Moonshine (5),Mixed,Bourbon Bash 2016
8,Mixed Pi (8),7,7/16/2016,Thunderpants the Magic Dragon (4),Mixed,Bourbon Bash 2016
3,Goosebumps and Hucks (9),11,7/16/2016,Columbus Cocktails (2),Mixed,Bourbon Bash 2016
1,Thunderpants the Magic Dragon (4),11,7/16/2016,Columbus Cocktails (2),Mixed,Bourbon Bash 2016
6,Mixed Pi (8),11,7/16/2016,Moonshine (5),Mixed,Bourbon Bash 2016
11,Los  Heros (11),7,7/16/2016,Goosebumps and Hucks (9),Mixed,Bourbon Bash 2016
6,Fifth Element (6),15,7/17/2016,North Coast (12),Mixed,Bourbon Bash 2016
10,I-79 (7),11,7/17/2016,North Coast (12),Mixed,Bourbon Bash 2016
10,Mixed Pi (8),12,7/17/2016,Fifth Element (6),Mixed,Bourbon Bash 2016
15,I-79 (7),12,7/17/2016,Thunderpants the Magic Dragon (4),Mixed,Bourbon Bash 2016
8,Goosebumps and Hucks (9),15,7/17/2016,Fifth Element (6),Mixed,Bourbon Bash 2016
13,Mixed Pi (8),10,7/17/2016,I-79 (7),Mixed,Bourbon Bash 2016
5,Goosebumps and Hucks (9),13,7/17/2016,Thunderpants the Magic Dragon (4),Mixed,Bourbon Bash 2016
15,Columbus Cocktails (2),8,7/17/2016,Prion (1),Mixed,Bourbon Bash 2016
7,Hairy Otter (3),11,7/17/2016,Prion (1),Mixed,Bourbon Bash 2016
15,Columbus Cocktails (2),6,7/17/2016,Free Ride (10),Mixed,Bourbon Bash 2016
13,Hairy Otter (3),10,7/17/2016,Los  Heros (11),Mixed,Bourbon Bash 2016
10,Moonshine (5),11,7/17/2016,Free Ride (10),Mixed,Bourbon Bash 2016
7,Free Ride (10),11,7/17/2016,Hairy Otter (3),Mixed,Bourbon Bash 2016
14,Moonshine (5),8,7/17/2016,Los  Heros (11),Mixed,Bourbon Bash 2016
13,Kentucky Flying Circus (3),0,7/16/2016,B-Yard (1),Men,Mid-Summer Meltdown 2016
8,Pocket City Approach (5),12,7/16/2016,Memphis Belle (2),Men,Mid-Summer Meltdown 2016
3,DiscJockeys (6),13,7/16/2016,HangTime Ultimate (4),Men,Mid-Summer Meltdown 2016
13,Memphis Belle (2),4,7/16/2016,B-Yard (1),Men,Mid-Summer Meltdown 2016
9,HangTime Ultimate (4),11,7/16/2016,Kentucky Flying Circus (3),Men,Mid-Summer Meltdown 2016
7,DiscJockeys (6),13,7/16/2016,Pocket City Approach (5),Men,Mid-Summer Meltdown 2016
12,HangTime Ultimate (4),7,7/16/2016,B-Yard (1),Men,Mid-Summer Meltdown 2016
3,DiscJockeys (6),13,7/16/2016,Memphis Belle (2),Men,Mid-Summer Meltdown 2016
6,Pocket City Approach (5),13,7/16/2016,Kentucky Flying Circus (3),Men,Mid-Summer Meltdown 2016
4,DiscJockeys (6),13,7/16/2016,B-Yard (1),Men,Mid-Summer Meltdown 2016
10,Kentucky Flying Circus (3),9,7/16/2016,Memphis Belle (2),Men,Mid-Summer Meltdown 2016
7,Pocket City Approach (5),9,7/16/2016,HangTime Ultimate (4),Men,Mid-Summer Meltdown 2016
12,HangTime Ultimate (4),13,7/17/2016,Memphis Belle (2),Men,Mid-Summer Meltdown 2016
7,Pocket City Approach (5),12,7/17/2016,B-Yard (1),Men,Mid-Summer Meltdown 2016
0,DiscJockeys (6),13,7/17/2016,Kentucky Flying Circus (3),Men,Mid-Summer Meltdown 2016
7,Memphis Belle (2),13,7/17/2016,Kentucky Flying Circus (3),Men,Mid-Summer Meltdown 2016
4,B-Yard (1),13,7/17/2016,Kentucky Flying Circus (3),Men,Mid-Summer Meltdown 2016
9,HangTime Ultimate (4),13,7/17/2016,Memphis Belle (2),Men,Mid-Summer Meltdown 2016
8,B-Yard (1),11,7/17/2016,HangTime Ultimate (4),Men,Mid-Summer Meltdown 2016
8,DiscJockeys (6),13,7/17/2016,Pocket City Approach (5),Men,Mid-Summer Meltdown 2016
4,Last Call (5),15,7/16/2016,Bang! (1),Mixed,Philly Invite 2016
15,Clue (8),8,7/16/2016,Ant Madness (4),Mixed,Philly Invite 2016
11,Clue (8),15,7/16/2016,Bang! (1),Mixed,Philly Invite 2016
10,Last Call (5),15,7/16/2016,Ant Madness (4),Mixed,Philly Invite 2016
12,Ant Madness (4),15,7/16/2016,Bang! (1),Mixed,Philly Invite 2016
15,Clue (8),9,7/16/2016,Last Call (5),Mixed,Philly Invite 2016
12,American Hyperbole (6),15,7/16/2016,Sparkle Ponies (2),Mixed,Philly Invite 2016
9,Tyrannis (7),15,7/16/2016,Powermove (3),Mixed,Philly Invite 2016
12,Tyrannis (7),15,7/16/2016,Sparkle Ponies (2),Mixed,Philly Invite 2016
15,American Hyperbole (6),11,7/16/2016,Powermove (3),Mixed,Philly Invite 2016
10,Powermove (3),15,7/16/2016,Sparkle Ponies (2),Mixed,Philly Invite 2016
9,Tyrannis (7),15,7/16/2016,American Hyperbole (6),Mixed,Philly Invite 2016
8,BITMAP (13),15,7/16/2016,Dub Club (9),Mixed,Philly Invite 2016
11,Crucible (16),15,7/16/2016,Los Penguinos (12),Mixed,Philly Invite 2016
5,Crucible (16),15,7/16/2016,Dub Club (9),Mixed,Philly Invite 2016
14,BITMAP (13),15,7/16/2016,Los Penguinos (12),Mixed,Philly Invite 2016
6,Los Penguinos (12),15,7/16/2016,Dub Club (9),Mixed,Philly Invite 2016
15,Crucible (16),17,7/16/2016,BITMAP (13),Mixed,Philly Invite 2016
11,Buffalo Lake Effect (14),15,7/16/2016,Grand Army. (10),Mixed,Philly Invite 2016
17,Sabotage (15),15,7/16/2016,The Bandits (11),Mixed,Philly Invite 2016
15,Sabotage (15),16,7/16/2016,Grand Army. (10),Mixed,Philly Invite 2016
4,Buffalo Lake Effect (14),15,7/16/2016,The Bandits (11),Mixed,Philly Invite 2016
15,The Bandits (11),16,7/16/2016,Grand Army. (10),Mixed,Philly Invite 2016
13,Sabotage (15),15,7/16/2016,Buffalo Lake Effect (14),Mixed,Philly Invite 2016
9,Los Penguinos (12),15,7/16/2016,Ant Madness (4),Mixed,Philly Invite 2016
12,The Bandits (11),15,7/16/2016,Powermove (3),Mixed,Philly Invite 2016
15,Dub Club (9),5,7/16/2016,Last Call (5),Mixed,Philly Invite 2016
12,Grand Army. (10),14,7/16/2016,Tyrannis (7),Mixed,Philly Invite 2016
9,Sparkle Ponies (2),15,7/16/2016,Bang! (1),Mixed,Philly Invite 2016
15,American Hyperbole (6),6,7/16/2016,Clue (8),Mixed,Philly Invite 2016
15,Sabotage (15),11,7/16/2016,BITMAP (13),Mixed,Philly Invite 2016
15,Buffalo Lake Effect (14),7,7/16/2016,Crucible (16),Mixed,Philly Invite 2016
9,Clue (8),15,7/17/2016,Bang! (1),Mixed,Philly Invite 2016
7,American Hyperbole (6),15,7/17/2016,Bang! (1),Mixed,Philly Invite 2016
6,Dub Club (9),15,7/17/2016,Clue (8),Mixed,Philly Invite 2016
5,Tyrannis (7),15,7/17/2016,Bang! (1),Mixed,Philly Invite 2016
15,American Hyperbole (6),12,7/17/2016,Ant Madness (4),Mixed,Philly Invite 2016
16,Powermove (3),17,7/17/2016,Clue (8),Mixed,Philly Invite 2016
8,Sparkle Ponies (2),15,7/17/2016,Dub Club (9),Mixed,Philly Invite 2016
15,Dub Club (9),6,7/17/2016,American Hyperbole (6),Mixed,Philly Invite 2016
13,Sparkle Ponies (2),10,7/17/2016,Ant Madness (4),Mixed,Philly Invite 2016
14,Ant Madness (4),13,7/17/2016,Tyrannis (7),Mixed,Philly Invite 2016
16,Sparkle Ponies (2),15,7/17/2016,Powermove (3),Mixed,Philly Invite 2016
11,Powermove (3),9,7/17/2016,Tyrannis (7),Mixed,Philly Invite 2016
15,Last Call (5),4,7/17/2016,The Bandits (11),Mixed,Philly Invite 2016
15,The Bandits (11),8,7/17/2016,Buffalo Lake Effect (14),Mixed,Philly Invite 2016
15,Last Call (5),6,7/17/2016,Sabotage (15),Mixed,Philly Invite 2016
14,Buffalo Lake Effect (14),13,7/17/2016,Grand Army. (10),Mixed,Philly Invite 2016
15,The Bandits (11),13,7/17/2016,BITMAP (13),Mixed,Philly Invite 2016
14,Sabotage (15),12,7/17/2016,Los Penguinos (12),Mixed,Philly Invite 2016
9,Crucible (16),15,7/17/2016,Last Call (5),Mixed,Philly Invite 2016
4,Sabotage (15),15,7/17/2016,Buffalo Lake Effect (14),Mixed,Philly Invite 2016
14,Crucible (16),15,7/17/2016,Grand Army. (10),Mixed,Philly Invite 2016
9,BITMAP (13),15,7/17/2016,Grand Army. (10),Mixed,Philly Invite 2016
14,Crucible (16),12,7/17/2016,Los Penguinos (12),Mixed,Philly Invite 2016
13,Los Penguinos (12),15,7/17/2016,BITMAP (13),Mixed,Philly Invite 2016
3,Impulse (17),13,7/16/2016,Triforce (13),Men,Stonewalled 2016
13,Bear Proof (12),14,7/16/2016,Oakgrove Boys (8),Men,Stonewalled 2016
4,Bear Proof (12),13,7/16/2016,Richmond Floodwall (1),Men,Stonewalled 2016
13,Triforce (13),11,7/16/2016,Oakgrove Boys (8),Men,Stonewalled 2016
2,Impulse (17),13,7/16/2016,Richmond Floodwall (1),Men,Stonewalled 2016
13,Triforce (13),4,7/16/2016,Bear Proof (12),Men,Stonewalled 2016
7,Triforce (13),13,7/16/2016,Richmond Floodwall (1),Men,Stonewalled 2016
6,Impulse (17),13,7/16/2016,Oakgrove Boys (8),Men,Stonewalled 2016
4,Oakgrove Boys (8),13,7/16/2016,Richmond Floodwall (1),Men,Stonewalled 2016
8,Impulse (17),13,7/16/2016,Bear Proof (12),Men,Stonewalled 2016
9,Carolina Sky (18),13,7/16/2016,Beltway Bullets (14),Men,Stonewalled 2016
7,Shockoe Slip Flatball Club (11),13,7/16/2016,BaNC (7),Men,Stonewalled 2016
9,Shockoe Slip Flatball Club (11),12,7/16/2016,Slag Dump (2),Men,Stonewalled 2016
8,Beltway Bullets (14),13,7/16/2016,BaNC (7),Men,Stonewalled 2016
8,Carolina Sky (18),13,7/16/2016,Slag Dump (2),Men,Stonewalled 2016
11,Beltway Bullets (14),9,7/16/2016,Shockoe Slip Flatball Club (11),Men,Stonewalled 2016
9,Beltway Bullets (14),13,7/16/2016,Slag Dump (2),Men,Stonewalled 2016
6,Carolina Sky (18),13,7/16/2016,BaNC (7),Men,Stonewalled 2016
13,BaNC (7),12,7/16/2016,Slag Dump (2),Men,Stonewalled 2016
13,Carolina Sky (18),10,7/16/2016,Shockoe Slip Flatball Club (11),Men,Stonewalled 2016
8,NC Hammer (19),7,7/16/2016,Marxmen (15),Men,Stonewalled 2016
12,RoadHouse (10),9,7/16/2016,Turbine X (6),Men,Stonewalled 2016
10,RoadHouse (10),13,7/16/2016,John Doe (3),Men,Stonewalled 2016
4,Marxmen (15),13,7/16/2016,Turbine X (6),Men,Stonewalled 2016
0,NC Hammer (19),13,7/16/2016,John Doe (3),Men,Stonewalled 2016
4,Marxmen (15),13,7/16/2016,RoadHouse (10),Men,Stonewalled 2016
1,Marxmen (15),13,7/16/2016,John Doe (3),Men,Stonewalled 2016
4,NC Hammer (19),13,7/16/2016,Turbine X (6),Men,Stonewalled 2016
6,Turbine X (6),13,7/16/2016,John Doe (3),Men,Stonewalled 2016
4,NC Hammer (19),13,7/16/2016,RoadHouse (10),Men,Stonewalled 2016
5,Foggy Bottom Boys (20),13,7/16/2016,Watchdogs (16),Men,Stonewalled 2016
9,Black Cans & Highlands (9),13,7/16/2016,RUNTIME (5),Men,Stonewalled 2016
6,Black Cans & Highlands (9),13,7/16/2016,Lost Boys (4),Men,Stonewalled 2016
11,Watchdogs (16),13,7/16/2016,RUNTIME (5),Men,Stonewalled 2016
5,Foggy Bottom Boys (20),13,7/16/2016,Lost Boys (4),Men,Stonewalled 2016
5,Watchdogs (16),13,7/16/2016,Black Cans & Highlands (9),Men,Stonewalled 2016
3,Watchdogs (16),13,7/16/2016,Lost Boys (4),Men,Stonewalled 2016
6,Foggy Bottom Boys (20),13,7/16/2016,RUNTIME (5),Men,Stonewalled 2016
5,RUNTIME (5),13,7/16/2016,Lost Boys (4),Men,Stonewalled 2016
9,Foggy Bottom Boys (20),13,7/16/2016,Black Cans & Highlands (9),Men,Stonewalled 2016
F,Marxmen (15),W,7/17/2016,Bear Proof (12),Men,Stonewalled 2016
9,Watchdogs (16),13,7/17/2016,Carolina Sky (18),Men,Stonewalled 2016
11,Watchdogs (16),13,7/17/2016,Bear Proof (12),Men,Stonewalled 2016
F,Marxmen (15),W,7/17/2016,Carolina Sky (18),Men,Stonewalled 2016
8,Carolina Sky (18),11,7/17/2016,Bear Proof (12),Men,Stonewalled 2016
W,Watchdogs (16),F,7/17/2016,Marxmen (15),Men,Stonewalled 2016
2,NC Hammer (19),13,7/17/2016,Impulse (17),Men,Stonewalled 2016
7,Foggy Bottom Boys (20),11,7/17/2016,Shockoe Slip Flatball Club (11),Men,Stonewalled 2016
11,Foggy Bottom Boys (20),12,7/17/2016,Impulse (17),Men,Stonewalled 2016
2,NC Hammer (19),13,7/17/2016,Shockoe Slip Flatball Club (11),Men,Stonewalled 2016
9,Shockoe Slip Flatball Club (11),13,7/17/2016,Impulse (17),Men,Stonewalled 2016
13,Foggy Bottom Boys (20),2,7/17/2016,NC Hammer (19),Men,Stonewalled 2016
7,Triforce (13),12,7/17/2016,Richmond Floodwall (1),Men,Stonewalled 2016
6,Lost Boys (4),13,7/17/2016,Richmond Floodwall (1),Men,Stonewalled 2016
11,Triforce (13),9,7/17/2016,John Doe (3),Men,Stonewalled 2016
2,Slag Dump (2),13,7/17/2016,Richmond Floodwall (1),Men,Stonewalled 2016
5,RoadHouse (10),13,7/17/2016,Lost Boys (4),Men,Stonewalled 2016
6,RUNTIME (5),13,7/17/2016,John Doe (3),Men,Stonewalled 2016
12,Triforce (13),11,7/17/2016,BaNC (7),Men,Stonewalled 2016
11,Turbine X (6),14,7/17/2016,Slag Dump (2),Men,Stonewalled 2016
4,Beltway Bullets (14),13,7/17/2016,RoadHouse (10),Men,Stonewalled 2016
12,Oakgrove Boys (8),14,7/17/2016,RUNTIME (5),Men,Stonewalled 2016
8,Black Cans & Highlands (9),13,7/17/2016,Triforce (13),Men,Stonewalled 2016
7,John Doe (3),13,7/17/2016,Lost Boys (4),Men,Stonewalled 2016
15,RoadHouse (10),13,7/17/2016,Slag Dump (2),Men,Stonewalled 2016
12,BaNC (7),13,7/17/2016,Slag Dump (2),Men,Stonewalled 2016
10,RUNTIME (5),11,7/17/2016,RoadHouse (10),Men,Stonewalled 2016
8,RUNTIME (5),10,7/17/2016,BaNC (7),Men,Stonewalled 2016
F,Oakgrove Boys (8),F,7/17/2016,Turbine X (6),Men,Stonewalled 2016
12,Black Cans & Highlands (9),13,7/17/2016,Turbine X (6),Men,Stonewalled 2016
13,Oakgrove Boys (8),9,7/17/2016,Beltway Bullets (14),Men,Stonewalled 2016
W,Beltway Bullets (14),F,7/17/2016,Black Cans & Highlands (9),Men,Stonewalled 2016
9,First Order (6),13,7/9/2016,8 Bit Heroes (5),Mixed,Virginia Commonwealth Games 2016
13,Lord Fairfax (4),6,7/9/2016,Stormborn (3),Mixed,Virginia Commonwealth Games 2016
9,Norfolkin' Around (7),11,7/9/2016,Throws of Passion (2),Mixed,Virginia Commonwealth Games 2016
7,Lord Fairfax (4),13,7/9/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
7,First Order (6),12,7/9/2016,Throws of Passion (2),Mixed,Virginia Commonwealth Games 2016
7,Norfolkin' Around (7),11,7/9/2016,Stormborn (3),Mixed,Virginia Commonwealth Games 2016
6,Throws of Passion (2),12,7/9/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
10,Norfolkin' Around (7),12,7/9/2016,8 Bit Heroes (5),Mixed,Virginia Commonwealth Games 2016
0,First Order (6),13,7/9/2016,Stormborn (3),Mixed,Virginia Commonwealth Games 2016
11,8 Bit Heroes (5),10,7/9/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
6,First Order (6),12,7/9/2016,Lord Fairfax (4),Mixed,Virginia Commonwealth Games 2016
6,Stormborn (3),10,7/9/2016,Throws of Passion (2),Mixed,Virginia Commonwealth Games 2016
4,8 Bit Heroes (5),13,7/9/2016,Lord Fairfax (4),Mixed,Virginia Commonwealth Games 2016
7,Norfolkin' Around (7),13,7/9/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
12,Norfolkin' Around (7),11,7/10/2016,First Order (6),Mixed,Virginia Commonwealth Games 2016
10,8 Bit Heroes (5),9,7/10/2016,Throws of Passion (2),Mixed,Virginia Commonwealth Games 2016
12,Norfolkin' Around (7),11,7/10/2016,Lord Fairfax (4),Mixed,Virginia Commonwealth Games 2016
5,Stormborn (3),13,7/10/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
9,8 Bit Heroes (5),8,7/10/2016,Stormborn (3),Mixed,Virginia Commonwealth Games 2016
9,Lord Fairfax (4),5,7/10/2016,Throws of Passion (2),Mixed,Virginia Commonwealth Games 2016
4,First Order (6),13,7/10/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
13,Legion  (1),8,7/10/2016,Throws of Passion (2),Mixed,Virginia Commonwealth Games 2016
11,Throws of Passion (2),4,7/10/2016,8 Bit Heroes (5),Mixed,Virginia Commonwealth Games 2016
7,Lord Fairfax (4),12,7/10/2016,Legion  (1),Mixed,Virginia Commonwealth Games 2016
9,Lord Fairfax (4),6,7/10/2016,8 Bit Heroes (5),Mixed,Virginia Commonwealth Games 2016
10,Norfolkin' Around (7),13,7/10/2016,Stormborn (3),Mixed,Virginia Commonwealth Games 2016
5,Pop (11),13,7/9/2016,Phoenix (1),Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
3,Backhanded (14),13,7/9/2016,Underground (8),Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
6,Underground (8),13,7/9/2016,Phoenix (1),Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
7,Backhanded (14),9,7/9/2016,Pop (11),Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
2,Backhanded (14),13,7/9/2016,Phoenix (1),Women,TCT Elite-Select Challenge 2016 (Oshadega Invite)
